Question,Answer,text
Kas yra Lietuvos dirbtinio intelekto asociacija?,"Lietuvos dirbtinio intelekto asociacija (LDIA) – ne pelno siekianti organizacija, burianti dirbtinio intelekto profesionalus, mokslininkus, verslo atstovus ir entuziastus Lietuvoje.","<start_of_turn>user
Kas yra Lietuvos dirbtinio intelekto asociacija?
<end_of_turn>
<start_of_turn>model
Lietuvos dirbtinio intelekto asociacija (LDIA) – ne pelno siekianti organizacija, burianti dirbtinio intelekto profesionalus, mokslininkus, verslo atstovus ir entuziastus Lietuvoje.
<end_of_turn>
"
Kada buvo įkurta asociacija?,Asociacija įkurta 2019 m. liepos 17 d.,"<start_of_turn>user
Kada buvo įkurta asociacija?
<end_of_turn>
<start_of_turn>model
Asociacija įkurta 2019 m. liepos 17 d.
<end_of_turn>
"
Kokia yra asociacijos misija?,"Telkti DI bendruomenę, skatinti atsakingą ir tvarią DI plėtrą, šviesti visuomenę ir padėti diegti DI sprendimus visuose sektoriuose.","<start_of_turn>user
Kokia yra asociacijos misija?
<end_of_turn>
<start_of_turn>model
Telkti DI bendruomenę, skatinti atsakingą ir tvarią DI plėtrą, šviesti visuomenę ir padėti diegti DI sprendimus visuose sektoriuose.
<end_of_turn>
"
Kokia yra asociacijos vizija?,Stipri ir konkurencinga Lietuvos dirbtinio intelekto ekosistema Europoje ir pasaulyje.,"<start_of_turn>user
Kokia yra asociacijos vizija?
<end_of_turn>
<start_of_turn>model
Stipri ir konkurencinga Lietuvos dirbtinio intelekto ekosistema Europoje ir pasaulyje.
<end_of_turn>
"
Kas gali tapti asociacijos nariu?,"Fiziniai asmenys, įmonės, mokslo ir studijų institucijos bei kitos organizacijos.","<start_of_turn>user
Kas gali tapti asociacijos nariu?
<end_of_turn>
<start_of_turn>model
Fiziniai asmenys, įmonės, mokslo ir studijų institucijos bei kitos organizacijos.
<end_of_turn>
"
Kiek narių turi asociacija?,"Apie 95 fizinius narius, taip pat juridinius narius ir akademinių institucijų padalinius.","<start_of_turn>user
Kiek narių turi asociacija?
<end_of_turn>
<start_of_turn>model
Apie 95 fizinius narius, taip pat juridinius narius ir akademinių institucijų padalinius.
<end_of_turn>
"
Kaip valdoma asociacija?,"Asociaciją valdo prezidentas ir valdyba, renkami visuotiniu narių balsavimu.","<start_of_turn>user
Kaip valdoma asociacija?
<end_of_turn>
<start_of_turn>model
Asociaciją valdo prezidentas ir valdyba, renkami visuotiniu narių balsavimu.
<end_of_turn>
"
Ar asociacija siekia pelno?,"Ne, asociacija yra ne pelno siekianti ir veikia savanoriškumo pagrindu.","<start_of_turn>user
Ar asociacija siekia pelno?
<end_of_turn>
<start_of_turn>model
Ne, asociacija yra ne pelno siekianti ir veikia savanoriškumo pagrindu.
<end_of_turn>
"
Kokias veiklas organizuoja LDIA?,"AI meetupus, hakatonus, konferencijas, mokymus, diskusijas ir švietimo iniciatyvas.","<start_of_turn>user
Kokias veiklas organizuoja LDIA?
<end_of_turn>
<start_of_turn>model
AI meetupus, hakatonus, konferencijas, mokymus, diskusijas ir švietimo iniciatyvas.
<end_of_turn>
"
Kiek žmonių dalyvauja renginiuose?,2024 metais asociacijos renginiuose dalyvavo daugiau nei 2000 dalyvių.,"<start_of_turn>user
Kiek žmonių dalyvauja renginiuose?
<end_of_turn>
<start_of_turn>model
2024 metais asociacijos renginiuose dalyvavo daugiau nei 2000 dalyvių.
<end_of_turn>
"
Ar asociacija bendradarbiauja su universitetais?,"Taip, aktyviai bendradarbiauja su Lietuvos ir užsienio mokslo institucijomis.","<start_of_turn>user
Ar asociacija bendradarbiauja su universitetais?
<end_of_turn>
<start_of_turn>model
Taip, aktyviai bendradarbiauja su Lietuvos ir užsienio mokslo institucijomis.
<end_of_turn>
"
Kokias tarptautines konferencijas asociacija organizavo?,Tarp svarbiausių – ECML PKDD 2024 ir pasirengimas ICANN 2025 konferencijai.,"<start_of_turn>user
Kokias tarptautines konferencijas asociacija organizavo?
<end_of_turn>
<start_of_turn>model
Tarp svarbiausių – ECML PKDD 2024 ir pasirengimas ICANN 2025 konferencijai.
<end_of_turn>
"
Ar LDIA dalyvauja DI politikos formavime?,"Taip, asociacija dalyvauja DI reguliavimo ir strategijų diskusijose Lietuvoje ir Europos Sąjungoje.","<start_of_turn>user
Ar LDIA dalyvauja DI politikos formavime?
<end_of_turn>
<start_of_turn>model
Taip, asociacija dalyvauja DI reguliavimo ir strategijų diskusijose Lietuvoje ir Europos Sąjungoje.
<end_of_turn>
"
Kaip asociacija padeda verslui?,"Skatina DI taikymą, jungia startuolius su ekspertais, investuotojais ir partneriais.","<start_of_turn>user
Kaip asociacija padeda verslui?
<end_of_turn>
<start_of_turn>model
Skatina DI taikymą, jungia startuolius su ekspertais, investuotojais ir partneriais.
<end_of_turn>
"
Ar asociacija dirba su viešuoju sektoriumi?,"Taip, bendradarbiauja su valstybės institucijomis ir GovTech iniciatyvomis.","<start_of_turn>user
Ar asociacija dirba su viešuoju sektoriumi?
<end_of_turn>
<start_of_turn>model
Taip, bendradarbiauja su valstybės institucijomis ir GovTech iniciatyvomis.
<end_of_turn>
"
Ar LDIA vykdo visuomenės švietimą?,"Taip, organizuoja viešas paskaitas, diskusijas ir DI viešinimo iniciatyvas.","<start_of_turn>user
Ar LDIA vykdo visuomenės švietimą?
<end_of_turn>
<start_of_turn>model
Taip, organizuoja viešas paskaitas, diskusijas ir DI viešinimo iniciatyvas.
<end_of_turn>
"
Ar asociacija veikia tarptautiniu mastu?,"Taip, LDIA yra Europos ir tarptautinių dirbtinio intelekto tinklų dalis.","<start_of_turn>user
Ar asociacija veikia tarptautiniu mastu?
<end_of_turn>
<start_of_turn>model
Taip, LDIA yra Europos ir tarptautinių dirbtinio intelekto tinklų dalis.
<end_of_turn>
"
Iš kur gaunamas asociacijos finansavimas?,"Iš narių įnašų, rėmėjų, partnerystių ir projektinės veiklos.","<start_of_turn>user
Iš kur gaunamas asociacijos finansavimas?
<end_of_turn>
<start_of_turn>model
Iš narių įnašų, rėmėjų, partnerystių ir projektinės veiklos.
<end_of_turn>
"
Kaip prisijungti prie asociacijos?,Užpildžius paraišką asociacijos svetainėje lithuania.ai.,"<start_of_turn>user
Kaip prisijungti prie asociacijos?
<end_of_turn>
<start_of_turn>model
Užpildžius paraišką asociacijos svetainėje lithuania.ai.
<end_of_turn>
"
Kodėl verta tapti LDIA nariu?,"Tai galimybė būti aktyvios DI bendruomenės dalimi, augti profesionaliai ir prisidėti prie DI raidos Lietuvoje.","<start_of_turn>user
Kodėl verta tapti LDIA nariu?
<end_of_turn>
<start_of_turn>model
Tai galimybė būti aktyvios DI bendruomenės dalimi, augti profesionaliai ir prisidėti prie DI raidos Lietuvoje.
<end_of_turn>
"
